"key","from","to","rho_ctrl","padj_ctrl","rho_low","padj_low","delta_rho","sig_ctrl","sig_low","edge_state"
"MG/PC||PE/LPC","MG/PC","PE/LPC",-0.470003567395613,3.36480045737957e-20,-0.028037047269333,0.65123932012738,0.44196652012628,TRUE,FALSE,"lost_in_LI"
"PA/PS||PC/PE","PA/PS","PA/PS",-0.469706373836238,3.580626484389e-20,0.443371752127697,7.12379860476133e-18,0.913078125963934,TRUE,TRUE,"sign_flip"
"DGDG/PG||PE/SQDG","DGDG/PG","DGDG/PG",-0.469647632509971,3.61992469761571e-20,-0.359429323991943,9.66167072922451e-12,0.110218308518029,TRUE,TRUE,"stable_or_weak"
"PE/MGDG||SQDG/PS","PE/MGDG","SQDG/PS",-0.46954731627242,3.69247209961117e-20,-0.111196794172002,0.0516273762453328,0.358350522100418,TRUE,FALSE,"lost_in_LI"
"DGDG/PS||PC/PG","DGDG/PS","DGDG/PS",-0.469177165449371,3.99093567191484e-20,0.0738193395758286,0.2060831491139,0.5429965050252,TRUE,FALSE,"lost_in_LI"
"DGDG/PG||PC/SQDG","DGDG/PG","DGDG/PG",-0.469081945491268,4.06636160911798e-20,-0.555784411285845,2.75726298797717e-29,-0.0867024657945771,TRUE,TRUE,"stable_or_weak"
"DG/PE||SQDG/PS","DG/PE","SQDG/PS",0.46892610663026,4.19737016043717e-20,0.00785095260191888,0.902037509044803,-0.461075154028341,TRUE,FALSE,"lost_in_LI"
"MG/PG||PC/SQDG","MG/PG","PC/SQDG",-0.468852881141352,4.25654823729577e-20,-0.474867295565432,1.17852672320204e-20,-0.00601441442408018,TRUE,TRUE,"stable_or_weak"
"DG/PG||TG/PG","DG/PG","DG/PG",0.468767049066442,4.32822650156195e-20,0.405288596940623,7.12788882539282e-15,-0.063478452125819,TRUE,TRUE,"stable_or_weak"
"LPC/PG||TG/LPE","LPC/PG","LPC/PG",-0.466885449049276,6.45718817845451e-20,-0.437131223831276,2.35228626647101e-17,0.029754225218,TRUE,TRUE,"stable_or_weak"
"DGDG/MGDG||MG/SQDG","DGDG/MGDG","DGDG/MGDG",-0.466739534521929,6.64964602085956e-20,-0.298093723261297,2.72647239152107e-08,0.168645811260632,TRUE,TRUE,"stable_or_weak"
"PC/LPC||PC/PA","PC/LPC","PC/PA",0.465196166524954,9.21091261774725e-20,0.476084233452515,9.10700517336272e-21,0.0108880669275604,TRUE,TRUE,"stable_or_weak"
"LPC/PS||PE/PA","LPC/PS","LPC/PS",-0.464646841245531,1.03282398383138e-19,-0.270685664165913,5.47836731093254e-07,0.193961177079617,TRUE,TRUE,"stable_or_weak"
"DGDG/PA||PC/LPE","DGDG/PA","DGDG/PA",0.464121119786707,1.15212137704547e-19,0.0841862448735452,0.145874573133461,-0.379934874913162,TRUE,FALSE,"lost_in_LI"
"MGDG/PS||PE/DGDG","MGDG/PS","MGDG/PS",-0.463431780935087,1.32998170884836e-19,0.0180668470928408,0.773048302086133,0.481498628027928,TRUE,FALSE,"lost_in_LI"
"LPE/PG||TG/LPC","LPE/PG","LPE/PG",-0.462070806097296,1.76696495381795e-19,-0.337686181840615,1.99237758290409e-10,0.124384624256681,TRUE,TRUE,"stable_or_weak"
"PC/DGDG||PC/PA","PC/DGDG","PC/PA",0.461930792525099,1.81652811030643e-19,0.121610370660451,0.032847651196013,-0.340320421864648,TRUE,TRUE,"rewired_strength"
"LPC/PS||PC/PS","LPC/PS","LPC/PS",0.460975106016024,2.21461467288168e-19,0.788685723175465,2.36909314000639e-75,0.327710617159441,TRUE,TRUE,"rewired_strength"
"DG/LPE||DG/PA","DG/LPE","DG/PA",0.460934067555207,2.22996868563151e-19,0.389398665847686,9.84932955575056e-14,-0.0715354017075219,TRUE,TRUE,"stable_or_weak"
"DGDG/LPE||SQDG/PA","DGDG/LPE","SQDG/PA",0.460594494408845,2.38970377705704e-19,0.374857371231771,9.59473430942307e-13,-0.0857371231770743,TRUE,TRUE,"stable_or_weak"
"LPC/PA||PE/PS","LPC/PA","LPC/PA",-0.460551846596624,2.40706649490929e-19,0.177661934279453,0.00138040203154267,0.638213780876077,TRUE,TRUE,"sign_flip"
"DGDG/LPE||PE/PA","DGDG/LPE","DGDG/LPE",0.460369721662675,2.49606128830101e-19,0.299165283071501,2.41320889078796e-08,-0.161204438591174,TRUE,TRUE,"stable_or_weak"
"PC/PG||SQDG/PS","PC/PG","SQDG/PS",-0.459439516550838,3.02395226966495e-19,0.0525485420617401,0.376690797033188,0.511988058612578,TRUE,FALSE,"lost_in_LI"
"PE/PG||PG/PS","PE/PG","PG/PS",-0.45942851931624,3.02589024639602e-19,-0.00418243607522108,0.950064883365064,0.455246083241019,TRUE,FALSE,"lost_in_LI"
"DGDG/PA||LPE/PS","DGDG/PA","LPE/PS",-0.459201332542963,3.1668311368997e-19,-0.219396171353009,6.2077328417799e-05,0.239805161189954,TRUE,TRUE,"rewired_strength"
"MG/PC||MGDG/PG","MG/PC","MGDG/PG",0.458065935127045,3.99997848188551e-19,0.572239761172252,2.34142401439437e-31,0.114173826045207,TRUE,TRUE,"stable_or_weak"
"DG/DGDG||DG/PC","DG/DGDG","DG/DGDG",0.458047695811127,4.00853060628783e-19,0.262613157520633,1.23353657582223e-06,-0.195434538290493,TRUE,TRUE,"stable_or_weak"
"DG/PS||PE/DGDG","DG/PS","PE/DGDG",-0.457239801406037,4.72847302883654e-19,-0.0350892251241212,0.568378382598011,0.422150576281915,TRUE,FALSE,"lost_in_LI"
"DG/PA||MGDG/LPE","DG/PA","MGDG/LPE",0.456647828314392,5.33302828182593e-19,0.40582370628264,6.52065449642893e-15,-0.0508241220317525,TRUE,TRUE,"stable_or_weak"
"DG/LPC||DG/MG","DG/LPC","DG/LPC",0.455998455022652,6.08478020758858e-19,0.186223951976954,0.000771210108047388,-0.269774503045698,TRUE,TRUE,"rewired_strength"
"DG/PG||MG/PC","DG/PG","MG/PC",0.455867561108414,6.24037759250927e-19,0.661365910182098,5.7321689945603e-45,0.205498349073684,TRUE,TRUE,"rewired_strength"
"DG/PS||MG/PE","DG/PS","MG/PE",0.454923140059171,7.5608390053568e-19,0.100581780532749,0.0793290352116682,-0.354341359526422,TRUE,FALSE,"lost_in_LI"
"LPE/PS||PC/LPC","LPE/PS","LPE/PS",-0.454557012614633,8.1355286208569e-19,-0.230763824999128,2.38010720668083e-05,0.223793187615504,TRUE,TRUE,"rewired_strength"
"DG/PC||PA/PS","DG/PC","PA/PS",0.454305685570287,8.55034389383319e-19,-0.240673138047481,9.8859414314795e-06,-0.694978823617768,TRUE,TRUE,"sign_flip"
"MG/PE||MGDG/PS","MG/PE","MGDG/PS",0.453695473162724,9.66828365991596e-19,0.0417597184707943,0.491584283569308,-0.41193575469193,TRUE,FALSE,"lost_in_LI"
"DG/PE||DGDG/PG","DG/PE","DGDG/PG",0.453405253459435,1.02406104251962e-18,0.561846033351126,4.95762184711421e-30,0.108440779891691,TRUE,TRUE,"stable_or_weak"
"DG/PG||PC/SQDG","DG/PG","PC/SQDG",-0.453198988254417,1.0662545510123e-18,-0.480298588330593,3.65961998523831e-21,-0.027099600076176,TRUE,TRUE,"stable_or_weak"
"TG/PS||TG/SQDG","TG/PS","TG/PS",0.453044758744813,1.09847211669068e-18,0.176473428267185,0.00149029343571758,-0.276571330477629,TRUE,TRUE,"rewired_strength"
"LPE/PG||LPE/PS","LPE/PG","LPE/PS",0.452896161965125,1.13035307491178e-18,0.473685226958782,1.50696672246292e-20,0.0207890649936565,TRUE,TRUE,"stable_or_weak"
"DGDG/PS||PE/DGDG","DGDG/PS","DGDG/PS",-0.452736031500372,1.16587396564539e-18,-0.0125129753956993,0.840855624825595,0.440223056104672,TRUE,FALSE,"lost_in_LI"
"MG/SQDG||SQDG/LPC","MG/SQDG","SQDG/LPC",-0.452464051113001,1.23011262654901e-18,-0.214543708643022,9.19955201917867e-05,0.237920342469979,TRUE,TRUE,"rewired_strength"
"LPE/PS||MG/PE","LPE/PS","LPE/PS",0.451461961638427,1.5046897010396e-18,-0.0169421786862864,0.786584855686369,-0.468404140324714,TRUE,FALSE,"lost_in_LI"
"PE/LPC||PE/MGDG","PE/LPC","PE/LPC",0.451046480750816,1.63394218751251e-18,0.418834239487583,6.71245227069616e-16,-0.0322122412632336,TRUE,TRUE,"stable_or_weak"
"LPE/PA||PE/PS","LPE/PA","LPE/PA",-0.450841288446734,1.70037404782752e-18,0.144872740537684,0.00999764199188541,0.595714028984419,TRUE,TRUE,"sign_flip"
"DG/PG||MG/MGDG","DG/PG","MG/MGDG",-0.449846172828247,2.07477283059834e-18,0.164338382226323,0.00322545560945743,0.61418455505457,TRUE,TRUE,"sign_flip"
"MG/SQDG||PC/SQDG","MG/SQDG","PC/SQDG",0.448781318648896,2.56559043995281e-18,0.350110911134298,3.66726056691228e-11,-0.0986704075145982,TRUE,TRUE,"stable_or_weak"
"DGDG/LPC||MG/MGDG","DGDG/LPC","DGDG/LPC",-0.448519530820421,2.69954163627652e-18,-0.307741784931643,8.83378893702072e-09,0.140777745888778,TRUE,TRUE,"stable_or_weak"
"DGDG/LPE||MG/PA","DGDG/LPE","DGDG/LPE",0.448470177377347,2.72206036726428e-18,0.382617127254098,2.88342475617524e-13,-0.0658530501232495,TRUE,TRUE,"stable_or_weak"
"DG/PG||MG/PE","DG/PG","MG/PE",0.448172715592738,2.88456444338744e-18,0.574336746052395,1.25346224359792e-31,0.126164030459658,TRUE,TRUE,"stable_or_weak"
"LPC/LPE||MG/LPE","LPC/LPE","LPC/LPE",0.447930776431585,3.02285105652915e-18,0.245069886084743,6.60006778729993e-06,-0.202860890346842,TRUE,TRUE,"rewired_strength"
"DG/PE||PC/LPE","DG/PE","PC/LPE",-0.447889469745535,3.04313087918119e-18,-0.441728067893171,9.79502321479942e-18,0.00616140185236352,TRUE,TRUE,"stable_or_weak"
